,NTA,Average Savings,Total Jobs
0,Greenpoint,9753.649285714286,0.0
6,College Point,17159.372857142855,2.0
8,park-cemetery-etc-Brooklyn,14327.419333333331,0.0
9,Manhattanville,2760.8888888888887,0.0
10,East Williamsburg,13990.626363636366,0.0
11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,59950.340000000004,0.0
20,Crown Heights North,4036.298888888889,0.0
21,Maspeth,6658.283333333334,10.0
28,Hunts Point,39246.016153846154,12.0
33,SoHo-TriBeCa-Civic Center-Little Italy,37214.024,0.0
38,Steinway,11227.155714285715,20.0
45,East New York,48433.09333333333,15.0
48,Springfield Gardens South-Brookville,17757.662,0.0
52,Sunset Park West,14316.976875,0.0
56,Hunters Point-Sunnyside-West Maspeth,23931.398933333334,0.0
57,Mott Haven-Port Morris,17843.937857142857,10.0
71,Battery Park City-Lower Manhattan,469890.79666666663,0.0
72,Queensbridge-Ravenswood-Long Island City,61830.770625,0.0
75,Carroll Gardens-Columbia Street-Red Hook,24337.390000000003,0.0
78,Bushwick South,26140.455,10.0
